В каком месяце началась Вторая мировая война?;сентябрь
Столица Эстонии?;Таллинн
На Руси этот продукт пряный, необычного вкуса, занимал почётное место и в свадебном угощении и поминальном обряде. Он был очень сладок и дорог. О каком продукте идёт речь?;пряник
Русский царь Алексей Михайлович на книге, посвящённой соколиной охоте, сделал надпись, которая позднее стала пословицей “делу время, а потехе – час”. Что означало слово “потеха”?;охота
Это слово в переводе с греческого языка означает “украшенный мир, прекрасно устроенный мир”. А в том значении, к которому мы привыкли, его впервые стал употреблять Пифагор.;космос
Какой мультипликационный персонаж является символом студии Уолта Диснея?;миккимаус
По ключевым словам отгадай сказку: тыква, тюрьма, ключи, слезы, налоги, пауки, синьоры, генералы.;чипполино
В переводе с одного из языков название этой ягоды звучит как «ослиный огурец».;арбуз
По-итальянски название этого овоща звучит почти так же, как и по- русски. Но в русском языке у него два имени. Название его означает «золотое яблоко».;помидор
Вспомните героев одной из сказок и скажите, кем Аленушка приходится Иванушке?;сестра
Место, где растут яблони с наливными яблоками.;сад
Каким торжеством заканчиваются многие сказки?;пир
